Date,Open,High,Low,Close,Volume
24-01-2025,224.78,225.63,221.41,222.78,54697907
23-01-2025,224.74,227.03,222.3,223.66,60234760
22-01-2025,219.79,224.12,219.79,223.83,64126500
21-01-2025,224,224.42,219.38,222.64,98070429
17-01-2025,232.115,232.29,228.48,229.98,68488301
16-01-2025,237.35,238.01,228.03,228.26,71759052
15-01-2025,234.635,238.96,234.43,237.87,39831969
14-01-2025,234.75,236.12,232.472,233.28,39435294
13-01-2025,233.53,234.67,229.72,234.4,49630725
10-01-2025,240.01,240.16,233,236.85,61710856
08-01-2025,241.92,243.7123,240.05,242.7,37628940
07-01-2025,242.98,245.55,241.35,242.21,40855960
06-01-2025,244.31,247.33,243.2,245,45045571
03-01-2025,243.36,244.18,241.89,243.36,40244114
02-01-2025,248.93,249.1,241.8201,243.85,55740731
31-12-2024,252.44,253.28,249.43,250.42,39480718
30-12-2024,252.23,253.5,250.75,252.2,35557542
27-12-2024,257.83,258.7,253.06,255.59,42355321
26-12-2024,258.19,260.1,257.63,259.02,27262983
24-12-2024,255.49,258.21,255.29,258.2,23234705
23-12-2024,254.77,255.65,253.45,255.27,40858774
20-12-2024,248.04,255,245.69,254.49,147495267
19-12-2024,247.5,252,247.0949,249.79,60882264
18-12-2024,252.16,254.28,247.74,248.05,56774101
17-12-2024,250.08,253.83,249.78,253.48,51356360
16-12-2024,247.99,251.38,247.65,251.04,51694753
13-12-2024,247.815,249.2902,246.24,248.13,33155290
12-12-2024,246.89,248.74,245.68,247.96,32777532
11-12-2024,247.96,250.8,246.2601,246.49,45205814
10-12-2024,246.89,248.21,245.34,247.77,36914806
09-12-2024,241.83,247.24,241.75,246.75,44649232
06-12-2024,242.905,244.63,242.08,242.84,36870619
05-12-2024,243.99,244.54,242.13,243.04,40033878
04-12-2024,242.87,244.11,241.25,243.01,44383935
03-12-2024,239.81,242.76,238.9,242.65,38861017
02-12-2024,237.27,240.79,237.16,239.59,48137103
29-11-2024,234.81,237.81,233.97,237.33,28481377
27-11-2024,234.465,235.69,233.8101,234.93,33498439
26-11-2024,233.33,235.57,233.33,235.06,45986189
25-11-2024,231.46,233.245,229.74,232.87,90152832
22-11-2024,228.06,230.7199,228.06,229.87,38168252
21-11-2024,228.88,230.155,225.7103,228.52,42108327
20-11-2024,228.06,229.93,225.89,229,35169566
19-11-2024,226.98,230.16,226.66,228.28,36211774
18-11-2024,225.25,229.74,225.17,228.02,44686020
15-11-2024,226.4,226.92,224.27,225,47923696
14-11-2024,225.02,228.87,225,228.22,44923941
13-11-2024,224.01,226.65,222.76,225.12,48566217
12-11-2024,224.55,225.59,223.355,224.23,40398299
11-11-2024,225,225.7,221.5,224.23,42005602
08-11-2024,227.17,228.66,226.405,226.96,38328824
07-11-2024,224.625,227.875,224.57,227.48,42137691
06-11-2024,222.61,226.065,221.19,222.72,54561121
05-11-2024,221.795,223.95,221.14,223.45,28111338
04-11-2024,220.99,222.79,219.71,222.01,44944468
01-11-2024,220.965,225.35,220.27,222.91,65276741
31-10-2024,229.34,229.83,225.37,225.91,64370086
30-10-2024,232.61,233.47,229.55,230.1,47070907
29-10-2024,233.1,234.325,232.32,233.67,35417247
28-10-2024,233.32,234.73,232.55,233.4,36087134
25-10-2024,229.74,233.22,229.57,231.41,38802304
24-10-2024,229.98,230.82,228.41,230.57,31109503
23-10-2024,234.08,235.144,227.76,230.76,52286979
22-10-2024,233.885,236.22,232.6,235.86,38846578
21-10-2024,234.45,236.85,234.45,236.48,36254470
18-10-2024,236.18,236.18,234.01,235,46431472
17-10-2024,233.43,233.85,230.52,232.15,32993810
16-10-2024,231.6,232.12,229.84,231.78,34082240
15-10-2024,233.61,237.49,232.37,233.85,64751367
14-10-2024,228.7,231.73,228.6,231.3,39882085
11-10-2024,229.3,229.41,227.34,227.55,31759188
10-10-2024,227.78,229.5,227.17,229.04,28183544
09-10-2024,225.23,229.75,224.83,229.54,33591091
08-10-2024,224.3,225.98,223.25,225.77,31855693
07-10-2024,224.5,225.69,221.33,221.69,39505354
04-10-2024,227.9,228,224.13,226.8,37345098
03-10-2024,225.14,226.805,223.32,225.67,34044158
02-10-2024,225.89,227.37,223.02,226.78,32880605
01-10-2024,229.52,229.65,223.74,226.21,63285048
30-09-2024,230.04,233,229.65,233,54793391
27-09-2024,228.46,229.52,227.3,227.79,34025967
26-09-2024,227.3,228.5,225.41,227.52,36636707
25-09-2024,224.93,227.29,224.02,226.37,42308715
24-09-2024,228.645,229.35,225.73,227.37,43556068
23-09-2024,227.34,229.45,225.81,226.47,54146023
20-09-2024,229.97,233.09,227.62,228.2,318679888
19-09-2024,224.99,229.82,224.63,228.87,66781315
18-09-2024,217.55,222.71,217.54,220.69,59894928
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
